Scheme_Name,Description,Type,Who_Can_Apply,Official_Link
ISO 9000/ISO 14001 Certification Reimbursement,"SME has emerged as dynamic and vibrant sector and is contributing significantly to industrial production, export and employment generation. The process of economic liberalisation and market reforms has opened up Indian SMEs to global competition. In order to enhance the competitive strength of SMEs, the Government has introduced an incentive scheme for their technological upgradation/quality improvement and environment management. The scheme provides incentives to those SMEs/ancillary undertakings who have acquired ISO 9000/ISO
14001/HACCP certification. The scheme is
enlarged so as to include reimbursement of
expenses for acquiring ISO 14001 certification.",Finance,MSE — MSE |  | Permanent registered Micro and Small Enterprises (MSEs) are eligible to avail the incentive scheme. The scheme is applicable to those MSEs/ancillary/SSSB units who have already acquired ISO-9000/ISO-14001/ HACCP certification.,"https://my.msme.gov.in/M
yMsmeMob/MsmeScheme
/Pages/0_2_2.html#:~:text
=The%20scheme%20envisa
ges%20reimbursement%20
of,to%20avail%20the%20in
centive%20scheme |"
"Micro Finance
Programme
Performance and
Credit Rating",The Union Government has launched a scheme of micro finance and tied up with the existing programme of SIDBI by way of contributing towards security deposits required from the MFIs/NGOs to get loan from SIDBI. The scheme is being operated in the under-served States and under-served pockets/districts of other States.,Credit,"MFIs/NGOs
 — MFIs/NGOs
 | Data not available | MFIs/NGOs",http://www.dcmsme.gov.in/schemes/microfinance.htm |
Performance & Credit Rating,"This scheme seeks to establish independent, trusted third party opinion on capabilities and credit-worthiness of MSEs, and makes credit available at attractive interest rates. It endeavours to enable MSMEs recognition in global trade, ensure prompt sanctions of credit from banks and financial institutions, subsidized rating fee structure for MSEs, facilitate vendors/buyers in capability and capacity assessment of MSEs, enable the MSEs to ascertain the strengths and weaknesses of their existing operations and take corrective measures. Salient features: The scheme is a combination of credit and performance factors including operations, finance, business and management risk, allowing uniform rating scale for all empanelled rating agencies. MSEs have the liberty to choose from the empanelled rating agencies. The fee structure is turn-over based. Partial re-imbursement of rating fee may be obtained through NSIC.",Credit,"Any enterprise registered in
India as a Micro or Small
Enterprise is eligible to apply — Any enterprise registered in
India as a Micro or Small
Enterprise is eligible to apply | Data not available | Any enterprise registered in India as a Micro or Small Enterprise is eligible to apply.",https://msme.gov.in/sites/default/files/PCR_EN.pdf |
Raw Material Assistance,The scheme aims at helping MSEs by way of financing the purchase of raw material (both indigenous & imported). This gives an opportunity to MSEs to focus better on manufacturing quality products.,Credit,Registered MSMEs — Registered MSMEs | Data not available | Registered MSMEs,"https://www.startupindia.gov.in/content/sih/en/government-schemes/raw_material_assistance.html

https://www.startupindia.g
ov.in/content/sih/en/gover
nmentschemes/raw_material_ass
istance.html#:~:text=and%
20Medium%20Enterprises)
-
,Raw%20Material%20Assist
ance%20Scheme%20aims%
20at%20helping%20MSME
s%20by%20way,better%20
on%20manufacturing%20q
uality%20products.&text=F
inancial%20assistance%20(
Credit)%20for%20procure
ment,material%20up%20to
%2090%20days. |"
Single Point Registration,"The government is the single largest buyer of a variety of goods. With a view to increasing the share of purchases from MSEs, the ‘Government Stores Purchase Programme’was launched. NSIC
registers MSEs under Single Point Registration
Scheme (SPRS), are eligible for participation in
Government purchases.",Marketing,"MSMEs — MSMEs | Data not available | MSEs which are registered with the Director of Industries (DI)/District Industries Centre (DIC) as manufacturing/service enterprises o r h a v i n g a c k n o w l e d g eme n t o f Entrepreneurs Memorandum (EM Part-II) are eligible for registration with NSIC under its SPRS. • MSEs which have already commenced their
commercial production, but not completed
one year of existence can be issued with
Provisional Registration Certificate under
SPRS with monitory limit of Rs.5 lakh,
which shall be valid for a period of one year
only from the date of issue after levying the
registration fee and obtaining the requisite
documents.",https://www.nsic.co.in/schemes/Single-Point-Registration.aspx |
Janshree Bima Yojana for Khadi Artisans,"In order to provide insurance cover to Khadi artisans, a scheme of group insurance in the name of Khadi Karigar Janshree Bima Yojana (JBY) was launched. This scheme was formulated by KVIC in association with the Life Insurance Corporation of India (LIC).",Insurance,"Khadi Karigar (spinners and weavers) aged between 18 - 59 years. Khadi Karigar should be below, or marginally above the poverty line. — Khadi Karigar (spinners and weavers) aged between 18 - 59 years. Khadi Karigar should be below, or marginally above the poverty line. |  | Khadi Karigar (spinners and weavers) aged between 18 - 59 years. Khadi Karigar should be below, or marginally above the poverty line",https://my.msme.gov.in/M yMsmeMob/MsmeScheme /Pages/1_3_1.html |
Coir Udyami Yojana,This is a credit linked subsidy scheme for setting up of coir units with project cost up to Rs.10 lakh plus one cycle of working capital which shall not exceed 25% of the project cost. Working capital will not be considered for subsidy.,Credit,"Individuals, Companies, Self
Help Groups, Non
Governmental Organizations,
Institutions registered under
Societies Registration Act
1860, Production Co-operative
Societies, Joint Liability Groups
and Charitable Trust.
 — Individuals, Companies, Self
Help Groups, Non
Governmental Organizations,
Institutions registered under
Societies Registration Act
1860, Production Co-operative
Societies, Joint Liability Groups
and Charitable Trust.
 | Data not available | Individuals, Companies, Self Help Groups, Non Governmental Organizations, Institutions registered under Societies Registration Act 1860, Production Co-operative Societies, Joint Liability Groups and Charitable Trust.","https://www.startupindia.gov.in/content/sih/en/government-schemes/coir_udyami_yojana.html
 |"
ISO 9000/14001 Certification Reimbursement,"75% reimbursement, up to Rs.75,000",Finance,MSEs — MSEs | Data not available |,https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/0_2_2.html |
National Awards (Individual MSEs),"MSMEs have registered tremendous growth and progress in terms of quality of production, exports, innovation, product development and import substitution, very much beyond the expected objectives of the setting up of MSMEs. Entrepreneurial efforts have made it possible to produce a number of items, which were hitherto imported. In quite a few cases new variants so produced are having additional attributes over their original versions and are capable of solving a multitude of user problems. All this has become possible owing to the ambitions and visionary spirit of entrepreneurs of MSMEs. The MoMSME with a view to recognising the efforts and contribution of MSMEs, gives National Awards annually to selected entrepreneurs and enterprises under the scheme of National Awards.",Reward,Micro/Small Enterprises — Micro/Small Enterprises | Data not available | Deserving entrepreneurs managing MSMEs having permanent registration/having filed Entrepreneurs’ Memorandum Part-II with notified authorities. The MSMEs should have been in continuous production/servicing at least during the last three years.,http://www.dcmsme.gov.in/schemes/award_scheme.htm |
Development of Production Infrastructure (DPI) Scheme – coir,"Coir Board is implementing the plan scheme ‘Development of Production Infrastructure’ with the objective of providing modern infrastructure facilities to coir production units, resulting in improvement of productivity and quality and also in creation of employment opportunities especially for women in the rural areas. It also aims the establishment of new “State of the Art” Coir Processing Units, Spread of the industry to potential areas, Enhanced utilization of available raw material, Attracting new generation entrepreneurs to the industry , Modernisation of existing unit, Production of high value customer oriented products, Make the Coir Industry competitive, Adoption of eco friendly production techniques and Achieve the target of a pollution free coir industry with technological advancements.",Infrastructure,"Existing coir production units — Existing coir production units |  | All new coir processing units registered with Coir Board under Coir Industry (Registration) Rules, 2008 and registered with the DIC of the respective region of the entire coir sector of the country with project cost exceeding Rs.10/- lakh each or more than the ceiling fixed in Coir Udyami Yojana Scheme are eligible for assistance under the scheme.",www.coirboard.gov.in |
